epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1931,0,75.9527,0,0,0,0,0,0,37.7219,0,0,0,0
2,77.9531,0,75.8966,0,0,0,0,0,0,37.7207,0,1.802e-05,1.802e-05,1.802e-05
3,106.951,0,75.8764,0,0,0,0,0,0,37.7184,0,3.208e-05,3.208e-05,3.208e-05
4,126.819,0,75.5478,0,0,0,0,0,0,37.7171,0,4.218e-05,4.218e-05,4.218e-05
5,150.592,0,75.1087,0,0,0,0,0,0,37.7171,0,4.832e-05,4.832e-05,4.832e-05
6,172.738,0,74.7914,0,0,0,0,0,0,37.7182,0,5.05e-05,5.05e-05,5.05e-05
7,191.006,0,74.2917,0,0,0,0,0,0,37.7216,0,4.872e-05,4.872e-05,4.872e-05
8,205.575,0,74.1505,0,0,0,0,0,0,37.7271,0,4.298e-05,4.298e-05,4.298e-05
9,219.417,0,74.0342,0,0,0,0,0,0,37.7353,0,3.328e-05,3.328e-05,3.328e-05
10,234.501,0,73.7578,0,0,0,0,0,0,37.7434,0,1.962e-05,1.962e-05,1.962e-05
